Event_ID,Event_Name,Event_Type,Sub_Type,Region,Calendar_Anchor,Annual_Week_Peak,Typical_Start_Week,Typical_End_Week,Lead_Time_Weeks,Decay_Weeks,Category_Impact_Keywords,Impact_Profile,Demand_Multiplier,Weather_Sensitivity,Geography_Weight,Recurrence_Type,Source_URL,Notes
EV011,Republic Day E-commerce Sale,Commercial,E-commerce Sale,India,2026,4,3,5,2,2,"Consumer Electronics, Smartphones, Appliances, Fashion, Home, Beauty, Gaming",Positive,2.6,Low,National,Annual,,Platform/retailer-controlled.
EV012,Valentine's Week,Commercial,Relationship/Gifting,India,2026,7,6,7,3,1,"Flowers, Chocolates, Soft Toys, Jewellery, Fashion Accessories, Greeting Cards, Gifts, Fragrances",Positive,2.0,Low,National,Annual,,
EV013,Valentine's Day,Commercial,Relationship/Gifting,India,2026,7,7,7,3,1,"Chocolates, Flowers, Perfumes, Jewellery, Watches, Fashion Accessories, Gifts, Beauty, Cakes",Positive,2.5,Low,National,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV014,Maha Shivaratri,Religious,Fasting/Festival,Pan-India; high regional variation,2026,7,7,7,1,1,"Fruits, Milk, Dairy, Dry Fruits, Fasting Foods, Flowers, Puja Items, Religious Goods",Positive,1.7,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV015,Winter Clearance / End of Season Sale,Commercial,Clearance,India,2026,8,6,10,3,3,"Winterwear, Footwear, Apparel, Blankets, Home Furnishings, Accessories",Positive,2.4,Low,National,Annual,,
EV016,Wedding Season — Winter Peak II,Lifecycle,Wedding,"North, West, Central, South India",2026,8,4,9,6,3,"Bridal Wear, Groom Wear, Ethnic Wear, Jewellery, Cosmetics, Footwear, Fragrances, Gifts, Home Products",Positive,3.1,Low,Regional,Annual,,
EV017,Exam Preparation Cycle,Lifecycle,Education/Exams,India,2026,9,7,11,5,3,"Books, Stationery, Printers, Laptops, Tablets, Study Lamps, Educational Supplies",Positive,1.7,Low,National,Annual,,
EV018,Spring Transition,Weather,Season Transition,India; warmer south earlier,2026,9,8,11,2,2,"Summer Apparel, Fans, Beverages, Skincare, Personal Care, Cooling Products",Positive,1.4,High,Regional,Annual,,
EV019,Holi Preparation,Festival,Hindu/Festival Prep,"North, West, Central India; pan-India urban markets",2026,10,8,10,3,1,"Colors, Pichkaris, Water Guns, White Apparel, Sweets, Snacks, Beverages, Party Supplies, Personal Care",Positive,2.2,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV020,Holika Dahan,Festival,Hindu,"North, West, Central India",2026,10,10,10,2,1,"Puja Items, Firewood/Decorative Materials, Sweets, Dry Fruits, Traditional Foods, Home Decor",Positive,1.8,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV021,Holi,Festival,Hindu,"North, West, Central India; pan-India",2026,10,10,10,3,1,"Colors, Pichkaris, White Apparel, Sweets, Snacks, Beverages, Personal Care, Party Supplies",Positive,3.0,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV022,Ramadan Begins,Religious,Fasting/Islamic,Muslim-majority market clusters across India,2026,11,10,14,4,2,"Dates, Dry Fruits, Fruits, Beverages, Meat, Bakery, Ready Foods, Modest Apparel, Personal Care",Mixed,1.9,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,Islamic lunar date shifts substantially year to year.
EV023,Iftar Peak Demand,Religious,Fasting/Food,India; Muslim market clusters,2026,12,11,14,2,1,"Fresh Fruits, Dates, Beverages, Dairy, Bakery, Meat, Spices, Ready Foods",Positive,2.2,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV024,Ugadi,Festival,Regional New Year,"Karnataka, Andhra Pradesh, Telangana",2026,12,12,12,3,1,"Fresh Produce, Fruits, Jaggery, Neem, Spices, Sweets, Ethnic Wear, Puja Items, Kitchenware",Positive,2.5,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV025,Gudi Padwa,Festival,Regional New Year,"Maharashtra, Goa, parts of Karnataka",2026,12,12,12,3,1,"Sarees, Jewellery, Ethnic Wear, Fresh Produce, Puja Items, Home Decor, Sweets, Gifts",Positive,2.4,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV026,Chaitra Navratri,Religious,Fasting/Festival,"North, West, Central India",2026,12,12,13,2,2,"Fasting Foods, Fruits, Dry Fruits, Dairy, Puja Items, Ethnic Wear, Religious Goods",Mixed,1.7,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV027,Ram Navami,Religious,Hindu,Pan-India; regional intensity,2026,13,13,13,1,1,"Fruits, Sweets, Puja Items, Religious Goods, Ethnic Wear",Positive,1.8,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV028,Mahavir Jayanti,Religious,Jain,India; higher impact in Jain community clusters,2026,13,13,13,1,1,"Fruits, Sweets, Vegetarian Food, Religious Goods, Ethnic Wear",Positive,1.4,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV029,Financial Year-End Shopping,Lifecycle,Financial/Business Cycle,India,2026,13,12,13,4,2,"Office Supplies, IT Equipment, Electronics, Furniture, Appliances, Business Goods, Packaging",Positive,1.8,Low,National,Annual,,
EV030,Tax-Saving Purchase Cycle,Lifecycle,Financial/Tax Cycle,India,2026,13,10,13,6,2,"Eligible Appliances, Electronics, Office Equipment, Financial/Compliance-related Products",Positive,1.5,Low,National,Annual,,Demand is highly household- and policy-dependent.
EV031,Baisakhi,Festival,Harvest/Regional New Year,"Punjab, Haryana, North India",2026,15,14,15,3,1,"Punjabi Ethnic Wear, Sweets, Dairy, Fresh Produce, Jewellery, Gifts, Food Ingredients",Positive,2.3,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV032,Tamil Puthandu,Festival,Regional New Year,Tamil Nadu,2026,15,14,15,3,1,"Sarees, Ethnic Wear, Jewellery, Fruits, Sweets, Puja Items, Home Goods, Kitchenware",Positive,2.2,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV033,Vishu,Festival,Regional New Year,Kerala,2026,15,14,15,3,1,"Traditional Wear, Gold Jewellery, Fruits, Flowers, Gifts, Sweets, Home Decor, Kitchenware",Positive,2.5,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV034,Poila Boishakh,Festival,Regional New Year,West Bengal,2026,15,14,15,3,1,"Bengali Ethnic Wear, Sweets, Fish, Fresh Produce, Home Decor, Jewellery, Gifts",Positive,2.3,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV035,Rongali / Bohag Bihu,Festival,Harvest/Regional New Year,Assam & Northeast,2026,15,14,16,3,2,"Assamese Traditional Wear, Rice, Meat, Fish, Sweets, Gifts, Musical Instruments, Home Goods",Positive,2.5,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV036,Maha Vishuba Sankranti,Festival,Regional New Year,Odisha,2026,15,14,15,2,1,"Ethnic Wear, Fresh Produce, Sweets, Puja Items, Home Goods",Positive,1.8,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV037,Good Friday,Religious,Christian,India; Christian community clusters,2026,14,14,14,2,1,"Bakery, Cakes, Chocolates, Beverages, Apparel, Travel, Gifts",Positive,1.6,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV038,Easter,Religious,Christian,India; Christian community clusters,2026,14,14,15,3,1,"Chocolates, Cakes, Bakery, Eggs, Children's Products, Gifts, Fashion",Positive,2.0,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV039,Summer Onset,Weather,Season Transition,Pan-India; earlier South/West,2026,15,14,18,3,3,"Fans, Air Coolers, ACs, Summer Apparel, Sunscreen, Beverages, Refrigeration",Positive,1.9,High,National,Annual,https://mausam.imd.gov.in/imd_latest/contents/onset.php,
EV040,Akshaya Tritiya,Festival,Hindu/Auspicious Shopping,Pan-India; jewellery-heavy demand,2026,18,17,18,5,2,"Gold, Jewellery, Silver, Ethnic Wear, Gifts, Home Appliances, Vehicles, Puja Items",Positive,2.8,Low,National,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV041,Peak Summer / Heatwave,Weather,Heat/Climate,"India; strongest in North, Central, West",2026,20,17,22,5,3,"Air Conditioners, Refrigerators, Coolers, Fans, Ice Cream, Cold Beverages, Hydration, Sunscreen, Cotton Apparel",Positive,2.5,Very High,Regional,Annual,https://mausam.imd.gov.in/imd_latest/contents/onset.php,
EV042,Mango Peak Season,Agricultural,Fresh Produce,"India; especially AP/Telangana, Karnataka, Maharashtra, Tamil Nadu, UP",2026,22,20,24,4,4,"Fresh Mangoes, Fresh Produce, Juices, Desserts, Dairy, Food Processing Ingredients",Positive,2.2,High,Regional,Annual,,
EV043,Summer Vacation Planning,Lifecycle,Travel/Holiday,India,2026,17,16,23,4,4,"Travel Bags, Luggage, Apparel, Footwear, Toys, Cameras, Sunglasses, Outdoor Goods",Positive,1.8,High,National,Annual,,
EV044,Buddha Purnima,Religious,Buddhist,India; strongest in Buddhist regions,2026,18,18,18,1,1,"Fruits, Vegetarian Food, Sweets, Religious Goods, Gifts",Positive,1.4,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV045,Mother's Day,Commercial,Relationship/Gifting,India,2026,19,18,19,3,1,"Flowers, Chocolates, Beauty, Perfumes, Jewellery, Handbags, Fashion, Home Decor, Gifts",Positive,2.4,Low,National,Annual,,
EV046,Peak Summer Cooling Demand,Weather,Heat/Climate,India,2026,20,17,22,4,3,"Air Conditioners, Fans, Coolers, Refrigerators, Cold Beverages, Ice Cream, Water Bottles, Hydration",Positive,2.5,Very High,National,Annual,https://mausam.imd.gov.in/imd_latest/contents/onset.php,
EV047,Summer Beverage Peak,Weather,Heat/Food,India,2026,20,17,24,2,2,"Juices, Soft Drinks, Bottled Water, Electrolytes, Ice Cream, Fresh Fruits, Dairy Drinks",Positive,2.3,Very High,National,Annual,,
EV048,Pre-Monsoon Home Preparation,Weather,Monsoon Preparation,India,2026,22,20,24,3,2,"Umbrellas, Rainwear, Waterproofing, Mosquito Control, Cleaning Supplies, Storage Products, Waterproof Bags",Positive,1.8,High,National,Annual,https://mausam.imd.gov.in/imd_latest/contents/onset.php,
EV049,Eid-ul-Adha / Bakrid,Religious,Islamic/Food & Gifting,Pan-India; Muslim community clusters,2026,22,21,23,4,2,"Meat, Spices, Dry Fruits, Dates, Ethnic Wear, Footwear, Fragrances, Gifts, Home Food Ingredients",Positive,2.8,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,Islamic lunar date shifts each year.
EV050,Wedding Season — Summer Peak,Lifecycle,Wedding,"North, West, Central, South India",2026,21,17,22,6,3,"Bridal Wear, Sarees, Jewellery, Groom Wear, Cosmetics, Footwear, Gifts, Home Appliances",Positive,3.0,Low,Regional,Annual,,
EV051,Exam Season / School Year-End,Lifecycle,Education/Exams,India,2026,20,17,22,4,3,"Stationery, Books, Printers, Study Lamps, Laptops, Educational Supplies",Positive,1.5,Low,National,Annual,,
EV052,Southwest Monsoon Onset — Kerala,Weather,Monsoon,Kerala,2026,23,23,23,2,2,"Umbrellas, Raincoats, Rainwear, Waterproof Bags, Waterproof Footwear, Mosquito Control, Cleaning Products",Positive,2.2,Very High,Regional,Annual,https://mausam.imd.gov.in/imd_latest/contents/onset.php,Normal onset is around 1 June; actual onset varies.
EV053,Monsoon Expansion — West/South,Weather,Monsoon,West & South India,2026,24,23,27,2,2,"Rainwear, Waterproof Footwear, Umbrellas, Insect Repellents, Dehumidifiers, Cleaning Supplies",Positive,2.0,Very High,Regional,Annual,https://mausam.imd.gov.in/imd_latest/contents/onset.php,
EV054,School Reopening Preparation,Lifecycle,Education,India,2026,23,21,25,5,2,"School Bags, Uniforms, Shoes, Stationery, Lunch Boxes, Water Bottles, Books, Electronics",Positive,3.0,Medium,National,Annual,,
EV055,Back-to-School Shopping Peak,Lifecycle,Education,India,2026,24,22,25,5,2,"Stationery, School Bags, Uniforms, Footwear, Books, Lunch Boxes, Water Bottles",Positive,2.8,Medium,National,Annual,,
EV056,College Reopening Cycle,Lifecycle,Education,India,2026,26,22,29,5,3,"Laptops, Tablets, Backpacks, Apparel, Footwear, Stationery, Hostel Supplies",Positive,2.0,Low,National,Annual,,
EV057,Father's Day,Commercial,Relationship/Gifting,India,2026,25,24,25,3,1,"Watches, Wallets, Shoes, Electronics, Grooming Products, Perfumes, Gifts",Positive,2.0,Low,National,Annual,,
EV058,Summer End-of-Season Sale,Commercial,Clearance,India,2026,26,24,28,3,3,"Summer Apparel, Footwear, Accessories, Luggage, Home Furnishings",Positive,2.2,Low,National,Annual,,
EV059,International Yoga Day,Commercial,Wellness,India,2026,25,24,25,2,1,"Yoga Mats, Fitness Wear, Fitness Equipment, Wellness Products, Sports Accessories",Positive,1.5,Low,National,Annual,,
EV060,World Environment Day,Commercial,Sustainability,India,2026,23,22,23,2,1,"Reusable Products, Sustainable Home Goods, Plants, Water Bottles, Eco Products",Positive,1.3,Low,National,Annual,,
EV061,Monsoon Expansion — North India,Weather,Monsoon,North India,2026,28,26,31,2,2,"Rainwear, Umbrellas, Waterproof Footwear, Insect Repellents, Cleaning Supplies, Dehumidifiers",Positive,2.0,Very High,Regional,Annual,https://mausam.imd.gov.in/imd_latest/contents/onset.php,
EV062,Peak Monsoon,Weather,Monsoon,Pan-India; regionally variable,2026,30,27,33,2,2,"Insect Repellents, Cleaning Products, Dehumidifiers, Rainwear, Waterproof Storage, Disinfectants",Positive,1.8,Very High,National,Annual,https://mausam.imd.gov.in/imd_latest/contents/onset.php,
EV063,Ratha Yatra,Festival,Regional/Hindu,Odisha; strong pilgrim/travel impact,2026,29,29,29,3,1,"Religious Goods, Ethnic Wear, Sweets, Flowers, Puja Items, Travel Goods",Positive,2.0,Medium,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV064,Guru Purnima,Festival,Religious/Cultural,India,2026,31,31,31,2,1,"Books, Stationery, Gifts, Flowers, Religious Goods, Traditional Wear",Positive,1.6,Low,National,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV065,Ashadhi / Devshayani Ekadashi,Religious,Fasting,Western & Central India; regional variation,2026,30,30,30,1,1,"Fasting Foods, Fruits, Dry Fruits, Religious Goods, Puja Items",Positive,1.6,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV066,Monsoon Fresh Produce Cycle,Agricultural,Fresh Produce,India,2026,28,27,34,1,2,"Fruits, Vegetables, Leafy Greens, Herbs, Food Preservation Products",Mixed,1.5,High,National,Annual,,
EV067,Monsoon Home Hygiene Cycle,Weather,Home Hygiene,India,2026,29,27,34,2,2,"Floor Cleaners, Disinfectants, Mosquito Control, Storage Goods, Dehumidifiers",Positive,1.7,High,National,Annual,,
EV068,Friendship Day,Commercial,Relationship/Gifting,India,2026,31,31,31,2,1,"Friendship Bands, Bracelets, Chocolates, Gifts, Greeting Cards, Accessories",Positive,1.8,Low,National,Annual,,
EV069,Nag Panchami,Festival,Hindu/Religious,India; regional,2026,33,33,33,1,1,"Puja Items, Milk, Flowers, Sweets, Religious Goods",Positive,1.4,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV070,Hariyali Teej,Festival,Hindu/Regional,North & West India,2026,33,33,33,3,1,"Green Ethnic Wear, Sarees, Jewellery, Cosmetics, Mehendi, Bangles, Gifts",Positive,2.0,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV071,Varalakshmi Vratam,Religious,Hindu/South India,"Karnataka, Andhra Pradesh, Telangana, Tamil Nadu",2026,35,35,35,3,1,"Sarees, Jewellery, Gold, Flowers, Fruits, Puja Items, Sweets, Home Goods",Positive,2.4,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV072,Raksha Bandhan,Festival,Hindu/Family Gifting,Pan-India,2026,35,34,35,4,1,"Rakhi, Gifts, Chocolates, Sweets, Fashion Accessories, Children's Apparel, Jewellery, Greeting Cards",Positive,3.0,Low,National,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV073,Onam,Festival,Harvest/Regional,Kerala; Malayali diaspora,2026,35,32,36,5,2,"Rice, Fresh Produce, Coconut, Spices, Banana Leaves, Ethnic Wear, Sarees, Gold, Flowers, Home Appliances, Kitchenware, Gifts",Positive,3.2,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV074,Onam Mega Shopping Season,Commercial,Regional Mega Sale,Kerala & Kerala-linked e-commerce,2026,34,31,36,6,2,"Gold Jewellery, Sarees, Ethnic Wear, Electronics, Appliances, Grocery, Fresh Food, Gifts, Home",Positive,3.5,Low,Regional,Annual,,
EV075,Independence Day,National,National Holiday,India,2026,33,32,33,2,1,"Apparel, Flag Merchandise, Snacks, Beverages, Electronics, Travel, Party Supplies",Positive,1.7,Low,National,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV076,Independence Day E-commerce Sale,Commercial,E-commerce Sale,India,2026,33,32,34,2,2,"Electronics, Mobiles, Appliances, Apparel, Home, Beauty",Positive,2.2,Low,National,Annual,,
EV077,Janmashtami Pre-Season,Religious,Hindu/Festival Prep,Pan-India,2026,35,33,36,3,1,"Baby Products, Kids Apparel, Toys, Sweets, Dairy, Puja Items, Decorative Items",Positive,2.0,Low,National,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV078,Milad-un-Nabi,Religious,Islamic,India; Muslim community clusters,2026,37,36,38,3,1,"Ethnic Wear, Fragrances, Sweets, Gifts, Religious Goods, Food Ingredients",Positive,1.8,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,Lunar date varies annually.
EV079,Krishna Janmashtami,Religious,Hindu,Pan-India,2026,36,36,36,3,1,"Baby Clothing, Kids Toys, Sweets, Dairy, Butter, Puja Items, Ethnic Wear, Home Decor",Positive,2.2,Low,National,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV080,Dahi Handi,Festival,Regional/Hindu,Maharashtra; urban festival markets,2026,36,36,36,2,1,"Dairy, Food Service, Beverages, Event Supplies, Ethnic Wear",Positive,1.6,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV081,Ganesh Chaturthi,Festival,Hindu/Regional,"Maharashtra, Karnataka, Telangana, Andhra, Goa; pan-India urban markets",2026,38,36,39,4,2,"Ganesh Idols, Puja Items, Flowers, Fruits, Sweets, Modaks, Decorative Items, Ethnic Wear, Home Decor",Positive,3.0,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV082,Ganesh Visarjan,Festival,Hindu/Regional,Regions celebrating Ganesh Chaturthi,2026,39,39,39,1,1,"Puja Items, Flowers, Religious Goods, Decorations, Sweets",Positive,1.7,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV083,Hartalika Teej,Festival,Hindu/Regional,North & West India,2026,38,38,38,2,1,"Sarees, Jewellery, Cosmetics, Mehendi, Bangles, Gifts, Puja Items",Positive,1.7,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV084,Vishwakarma Puja,Religious,Trade/Industrial Festival,"North, East, West, Central India",2026,38,38,38,2,1,"Tools, Electrical Goods, Machinery Accessories, Industrial Supplies, Puja Items",Positive,1.7,Medium,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV085,Pitrupaksha / Shraddha Period,Religious,Ancestor Observance,Pan-India; strongest in Hindu communities,2026,40,39,40,2,2,"Fruits, Vegetables, Grains, Puja Items, Traditional Food Ingredients",Mixed,1.4,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV086,Festive Home Makeover Pre-Season,Commercial,Festive Preparation,India,2026,41,38,44,5,3,"Home Decor, Furniture, Lighting, Appliances, Kitchenware, Furnishings",Positive,2.5,Low,National,Annual,https://agriexchange.apeda.gov.in/MarketReport/999990508202612916015143.pdf,
EV087,Festive Preview Sales,Commercial,E-commerce/Festive,India,2026,40,38,42,4,2,"Fashion, Electronics, Home, Beauty, Toys, FMCG",Positive,2.2,Low,National,Annual,https://agriexchange.apeda.gov.in/MarketReport/999990508202612916015143.pdf,
EV088,Big Billion Days / Major Festive Sale Window,Commercial,E-commerce Mega Sale,India,2026,41,39,42,3,2,"Electronics, Smartphones, Laptops, TVs, Appliances, Fashion, Beauty, Home, Toys",Positive,3.5,Low,National,Annual,https://agriexchange.apeda.gov.in/MarketReport/999990508202612916015143.pdf,Exact week varies by platform/year.
EV089,Great Indian Festival / Major Festive Sale Window,Commercial,E-commerce Mega Sale,India,2026,41,39,42,3,2,"Smartphones, Electronics, Appliances, Fashion, Beauty, Home, Grocery, Baby Care, Gaming",Positive,3.5,Low,National,Annual,https://www.aboutamazon.in/amazon-great-indian-festival,Amazon's exact dates vary annually.
EV090,Navratri,Religious,Hindu/Fasting/Festival,"North, West, Central India; pan-India",2026,42,41,43,5,2,"Ethnic Wear, Sarees, Chaniya Choli, Jewellery, Cosmetics, Footwear, Fasting Foods, Puja Items",Mixed,3.0,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV091,Durga Puja,Festival,Hindu/Regional,"West Bengal, Assam, Odisha, Jharkhand and metro clusters",2026,42,41,43,5,2,"Sarees, Ethnic Wear, Jewellery, Beauty, Footwear, Sweets, Fish, Gifts, Home Decor",Positive,3.0,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV092,Garba / Dandiya Season,Festival,Cultural/Regional,"Gujarat, Maharashtra, Rajasthan, urban India",2026,42,40,42,4,1,"Ethnic Wear, Jewellery, Footwear, Cosmetics, Accessories, Dandiya Sticks, Gifts",Positive,2.6,Low,Regional,Annual,,
EV093,Saraswati Puja,Religious,Hindu/Regional,East & North India,2026,42,41,42,2,1,"Books, Stationery, Flowers, Puja Items, Educational Products",Positive,1.7,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV094,Ayudha Puja,Religious,Trade/Tools Festival,"South India; Karnataka, Tamil Nadu, Kerala, Andhra/Telangana",2026,43,42,43,2,1,"Tools, Electrical Goods, Electronics, Machinery Accessories, Vehicles/Equipment, Puja Items",Positive,2.0,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV095,Mysuru Dasara,Festival,Regional/Cultural,Karnataka,2026,42,41,43,3,1,"Ethnic Wear, Sweets, Flowers, Travel, Gifts, Cultural Merchandise",Positive,2.0,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV096,Dussehra / Vijayadashami,Festival,Hindu,Pan-India,2026,43,42,43,4,2,"Ethnic Wear, Toys, Sweets, Gifts, Home Decor, Puja Items, Electronics",Positive,2.5,Low,National,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV097,Festive Apparel Peak,Commercial,Category Seasonality,India,2026,43,40,45,7,2,"Sarees, Kurtas, Sherwanis, Lehengas, Dresses, Footwear, Fashion Accessories",Positive,3.2,Low,National,Annual,https://agriexchange.apeda.gov.in/MarketReport/999990508202612916015143.pdf,
EV098,Festive Jewellery Peak,Commercial,Category Seasonality,India,2026,44,40,46,7,2,"Gold, Silver, Diamond Jewellery, Fashion Jewellery, Watches",Positive,3.0,Low,National,Annual,https://agriexchange.apeda.gov.in/MarketReport/999990508202612916015143.pdf,
EV099,Festive Electronics Pre-Diwali,Commercial,Category Seasonality,India,2026,44,42,45,6,2,"Smartphones, TVs, Laptops, Appliances, Audio, Smart Home, Gaming",Positive,3.2,Low,National,Annual,https://agriexchange.apeda.gov.in/MarketReport/999990508202612916015143.pdf,
EV100,Diwali Home-Cleaning Cycle,Festival,Preparation,India,2026,43,41,45,4,2,"Cleaning Products, Storage, Home Decor, Furniture, Kitchenware, Appliances",Positive,2.6,Low,National,Annual,https://agriexchange.apeda.gov.in/MarketReport/999990508202612916015143.pdf,
